Substance Evaluation - CoRAP list
Note: Group entries are split in different rows.
Export date: 09-mai-2024 09:03:23
Last updated 02-mai-2024. Database contains 402 unique substances/entries.

"Substance Identifier"	""	
"Evaluating Member State"	""	
"Status"	""	
"Initial grounds for concern (operator is and)"	"true"	
"Initial grounds for concerns"



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Co-Evaluating Member State"	"Year"	"Evaluating Member State"	"Initial grounds for concern"	"Status"	"Latest update"	"Decisions"	"Conclusion document"	"Justification documents"	"CoRAP publication date"	"MS address"	"Member State (MS) contact details"	"MS remarks"	"Further information"	"Remarks"	"DISLIST_CORAP_diss_concern"	"DISLIST_CORAP_relevance"	"First published"	
"Butan-2-one O,O',O''-(vinylsilylidyne)trioxime"	""	"218-747-8"	"2224-33-1"	""	""	"Italy"	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	"Withdrawn"	"18-mars-2020"	""	""	"https://echa.europa.eu/documents/10162/eefaf3f6-0e70-8a3f-92b8-ea1220d58886""https://echa.europa.eu/documents/10162/1599d64c-a81a-3ee9-cfea-253dcbe3dfa2"	"20-mars-2018"	"299 Viale Regina Elena, 00161 ROME"	"Institute of Health"	""	""	""	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	""	"20-mars-2018"	
"Propargite"	""	"219-006-1"	"2312-35-8"	""	"2019"	"Netherlands"	"Potential endocrine disruptor""Suspected PBT/vPvB"	"Concluded"	"19-oct.-2020"	""	"https://echa.europa.eu/documents/10162/574fbe39-cb23-e2b3-42cb-0fad07c98733"	"https://echa.europa.eu/documents/10162/1afbb9e9-67ab-661b-4916-a49e119a7d38""https://echa.europa.eu/documents/10162/6b1d13c0-cb5a-82f2-9dae-5744ded7b8ed"	"17-mars-2015"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string: ”SUBSTANCE EVALUATION&#34;."	""	""	"Potential endocrine disruptor""Suspected PBT/vPvB"	""	"14-janv.-2016"	
"7-oxabicyclo[4.1.0]hept-3-ylmethyl 7-oxabicyclo [4.1.0]heptane-3-carboxylate"	""	"219-207-4"	"2386-87-0"	""	"2013"	"Ireland"	"Suspected CMR""Sensitiser""Exposure of workers""High RCR"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/19f046bd-fab2-ac03-3af0-27e64c404214"	"https://echa.europa.eu/documents/10162/b8804bf1-592d-b25e-9f72-89f6f9dedc6b"	"https://echa.europa.eu/documents/10162/b97266db-7208-ed96-de3e-9f66ecd784b9"	"20-mars-2013"	"The Metropolitan Building, James Joyce Street, Dublin 1, Ireland 
"	"Health and Safety Authority"	""	""	""	"Suspected CMR""Sensitiser""Exposure of workers""High RCR"	""	"14-janv.-2016"	
"1-(4-methyl-2-nitrophenylazo)-2-naphthol"	""	"219-372-2"	"2425-85-6"	""	"2019"	"Germany"	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment"	"Concluded"	"20-oct.-2020"	""	"https://echa.europa.eu/documents/10162/17e57c25-3dff-aff4-4e41-8b29ce7449ca"	"https://echa.europa.eu/documents/10162/f14ed08a-933c-87c4-d4cf-a11c8bd7e9d0"	"19-mars-2019"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 220-562-2, 222-429-4."	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment"	""	"12-mars-2019"	
"2-(2H-benzotriazol-2-yl)-p-cresol"	""	"219-470-5"	"2440-22-4"	""	"2016"	"Czech Republic"	"Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/b57253b3-d250-8abf-ce86-161181ae16f0"	"https://echa.europa.eu/documents/10162/beeb9f0f-2758-d5d3-b59c-3b51c8fdf1db"	"26-mars-2014"	"Vršovická 65, 100 00 Praha 10, Czech Republic 
"	"Ministry of Environment of the Czech Republic"	""	""	""	"Sensitiser""Consumer use""Exposure of workers""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)"	""	"219-514-3"	"2451-62-9"	""	"2015"	"Poland"	"CMR""Suspected PBT/vPvB""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/a7e699fd-e749-864f-60db-f2e1bfc2e383"	"https://echa.europa.eu/documents/10162/8ced1b3c-016e-44c2-f1f4-4d3817f03526"	"29-févr.-2012"	""	"Bureau for Chemical Substances"	""	""	""	"CMR""Suspected PBT/vPvB""Consumer use""Exposure of environment""Exposure of workers""Wide dispersive use"	""	"14-janv.-2016"	
"3-trimethoxysilylpropyl methacrylate"	""	"219-785-8"	"2530-85-0"	""	"2015"	"Ireland"	"Suspected Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-juin-2020"	"https://echa.europa.eu/documents/10162/a512171c-c3ae-8e7d-5c9d-ea0ca500f19f"	"https://echa.europa.eu/documents/10162/7abbc1c3-439f-a97b-449b-6d610a2a3bfb"	"https://echa.europa.eu/documents/10162/6522f5d6-27ee-b169-af4d-4355d8a90acc"	"17-mars-2015"	"The Metropolitan Building, James Joyce Street, Dublin 1, Ireland 
"	"Health and Safety Authority"	""	""	""	"Suspected Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine"	""	"220-260-0"	"2691-41-0"	""	""	"Hungary"	"Suspected Carcinogenic""Suspected Reprotoxic""Exposure of environment""Exposure of workers""Wide dispersive use"	"Withdrawn"	"17-mars-2021"	""	""	"https://echa.europa.eu/documents/10162/d43f7bd2-ed23-8b75-66f8-80a11a3a3035""https://echa.europa.eu/documents/10162/a351e766-a7f9-6f69-7464-104d183dd738""https://echa.europa.eu/documents/10162/01a8eab1-4b07-3039-51fd-367af2177985"	"19-mars-2019"	"Albert Flórián út 2-6, H-1097 Budapest"	"National Public Health Center"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 204-500-1."	"Suspected Carcinogenic""Suspected Reprotoxic""Exposure of environment""Exposure of workers""Wide dispersive use"	""	"19-mars-2019"	
"Trimethoxyvinylsilane"	""	"220-449-8"	"2768-02-7"	""	"2013"	"Sweden"	"Suspected Sensitiser""Exposure of sensitive populations""Exposure of workers""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"21-déc.-2020"	"https://echa.europa.eu/documents/10162/8a95e6a0-1884-7623-354d-7fd71bab421e"	"https://echa.europa.eu/documents/10162/6709659e-4c4c-06a7-ea70-5aa094c25203"	"https://echa.europa.eu/documents/10162/267a8734-c56c-fc58-e70f-74952aae4d76"	"20-mars-2013"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden "	"Swedish Chemicals Agency"	""	""	""	"Suspected Sensitiser""Exposure of sensitive populations""Exposure of workers""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"1-[(2-chloro-4-nitrophenyl)azo]-2-naphthol"	""	"220-562-2"	"2814-77-9"	""	"2019"	"Germany"	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment"	"Concluded"	"20-oct.-2020"	""	"https://echa.europa.eu/documents/10162/70e2343d-174a-99a2-4ac3-d6026bd24f6b"	"https://echa.europa.eu/documents/10162/bef32a7e-52d0-c2c9-b6bf-f5cf98b887bc"	"19-mars-2019"	""	"Federal Institute for Occupational Safety and Health (BAuA)"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 219-372-2, 222-429-4."	"Suspected Carcinogenic""Suspected Mutagenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of environment"	""	"12-mars-2019"	
"5-amino-o-cresol"	""	"220-618-6"	"2835-95-2"	""	"2020"	"Italy"	"Mutagenic""Sensitiser""Other hazard based concern"	"Information requested"	"15-avr.-2024"	"https://echa.europa.eu/documents/10162/7e74447a-650c-8706-6966-fff39de152db"	""	"https://echa.europa.eu/documents/10162/d937550f-7ac2-9d28-98bc-d885f5e3c7ae"	"18-mars-2020"	""	"National Institute of Health (ISS)"	""	"<a href=""https://echa.europa.eu/documents/10162/2315815/a-008-2022_final_decision_en.pdf/f2b1bb4e-4cbf-cd64-d3f0-aa7c83dbce78"">The Board of Appeal in its decision in Case No. A-008-2022 has annulled in its entirety a SEv decision for this substance</a>"	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 200-237-1, 204-616-2, 209-711-2."	"Mutagenic""Sensitiser""Other hazard based concern"	""	"18-mars-2020"	
"N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine"	""	"221-374-3"	"3081-01-4"	""	"2012"	"Austria"	"Suspected PBT/vPvB""Wide dispersive use"	"Ongoing"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/bcb556f4-b062-9c7c-c893-a91497f571a8"	""	""	"29-févr.-2012"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria 
"	"Umweltbundesamt GmbH "	""	""	"As an outcome of the SEv follow-up process, a second SEv draft Decision requesting further information has been sent to the Registrant(s)."	"Suspected PBT/vPvB""Wide dispersive use"	""	"14-janv.-2016"	
"N,N'-bis(1,4-dimethylpentyl)-phenylenediamine"	""	"221-375-9"	"3081-14-9"	""	"2012"	"Belgium"	"Suspected PBT/vPvB""High (aggregated) tonnage"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/bed696b3-e749-a2c3-c155-b2ec9c29ac9f"	"https://echa.europa.eu/documents/10162/81052d17-6bc1-972a-ebfd-7f9aa40644e7"	""	"29-févr.-2012"	""	"Federal Public Service Health, Food Chain Safety and Environment"	""	""	""	"Suspected PBT/vPvB""High (aggregated) tonnage"	""	"14-janv.-2016"	
"3,5,5-trimethylhexanoic acid"	""	"221-975-0"	"3302-10-1"	""	""	"Spain"	"Suspected Reprotoxic""Exposure of workers"	"Withdrawn"	"21-avr.-2022"	""	""	"https://echa.europa.eu/documents/10162/b53c0a7b-3d30-d1a7-78e3-9e934c969ebd""https://echa.europa.eu/documents/10162/e99e5e74-0b65-c0f0-827a-134a43ec9739""https://echa.europa.eu/documents/10162/f29c3762-d87d-f899-2317-ce168275f7ea""https://echa.europa.eu/documents/10162/d10536e2-c7c9-9ebc-5d2c-76f1501fb2f2"	"22-mars-2016"	"Paseo del Prado, 18-20
28071 &#8211; Madrid, Spain"	"Ministry of Health"	""	""	"Dossier evaluation process to be completed before initiating substance evaluation. The substance may be put in CoRAP again, if after conclusion of the dossier evaluation process, concerns would remain, beyond what can be clarified through dossier evaluation."	"Suspected Reprotoxic""Exposure of workers"	""	"22-mars-2016"	
"tris(2-ethylhexyl)-benzene-1,2,4-tricarboxylate"	""	"222-020-0"	"3319-31-1"	""	"2012"	"Austria"	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	"Ongoing"	"12-avr.-2023"	"https://echa.europa.eu/documents/10162/16a54b06-ad13-73d1-45fe-2f2f55eb0784""https://echa.europa.eu/documents/10162/f7881694-9737-9bb2-48d2-64affb546f83"	""	""	"29-févr.-2012"	"Abteilung Chemikalien/Department Chemicals, Spittelauer Lände 5, 1090 Wien, Österreich/Austria
"	"Umweltbundesamt GmbH "	""	""	""	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Triclosan"	""	"222-182-2"	"3380-34-5"	"Denmark"	"2012"	"Netherlands"	"Potential endocrine disruptor""Suspected PBT/vPvB""High (aggregated) tonnage"	"Follow-up"	"18-août-2021"	"https://echa.europa.eu/documents/10162/4966ff20-14fb-904c-35f5-174d3b0d194b"	""	""	"29-févr.-2012"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string: ”SUBSTANCE EVALUATION&#34;."	"<a href=""https://echa.europa.eu/documents/10162/b4c50a57-0bab-d13b-7acf-e975939bb155"">The Board of Appeal in its decision in Case No. A-018-2014 has partly annulled a SEv decision for this substance</a>"	""	"Potential endocrine disruptor""Suspected PBT/vPvB""High (aggregated) tonnage"	""	"14-janv.-2016"	
"1-[(2,4-dinitrophenyl)azo]-2-naphthol"	""	"222-429-4"	"3468-63-1"	""	"2019"	"Germany"	"Suspected Carcinogenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of workers""Wide dispersive use"	"Concluded"	"20-oct.-2020"	""	"https://echa.europa.eu/documents/10162/b3772265-c9d0-58d2-205d-152247f3b2b1"	"https://echa.europa.eu/documents/10162/de7cd236-09c3-83a9-49a3-2f8a74f9582e""https://echa.europa.eu/documents/10162/bd6076e5-ba64-5114-61c1-bd02cc38938c"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in a joint evaluation with 220-562-2, 219-372-2."	"Suspected Carcinogenic""Suspected Reprotoxic""Suspected PBT/vPvB""Exposure of workers""Wide dispersive use"	""	"22-mars-2016"	
"N,N-diethylhydroxylamine"	""	"223-055-4"	"3710-84-7"	""	"2019"	"Sweden"	"Suspected Carcinogenic""Suspected Mutagenic"	"Concluded"	"22-août-2023"	"https://echa.europa.eu/documents/10162/1cefe78b-3a22-79be-a9e6-69f4590e57ce"	"https://echa.europa.eu/documents/10162/6236dfbd-2729-198e-4aa6-560de11f0c53"	"https://echa.europa.eu/documents/10162/62011a24-147b-7040-702b-cb95fc25a288"	"20-mars-2018"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden"	"Swedish Chemicals Agency"	""	""	""	"Suspected Carcinogenic""Suspected Mutagenic"	""	"20-mars-2018"	
"N,N-dicyclohexylbenzothiazole-2-sulphenamide"	""	"225-625-8"	"4979-32-2"	""	"2013"	"Germany"	"Suspected CMR""Suspected PBT/vPvB""Sensitiser""Consumer use""Exposure of workers""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/bb3b2a97-bb32-618b-b0e0-9f5f546b8ef0"	"https://echa.europa.eu/documents/10162/90c44eaf-d130-0958-055f-9dd4e8aad792""https://echa.europa.eu/documents/10162/5160a291-186a-4f3f-3a35-a8003cea400f"	"https://echa.europa.eu/documents/10162/5907bb91-01e5-a391-e966-6f604c90bf76"	"20-mars-2013"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	"<a href=""https://echa.europa.eu/documents/10162/15400f8f-4bac-be9f-9855-58013cb2e8cc"">The Board of Appeal in its decision in Case No. A-022-2015 has upheld a SEv decision for this substance</a>"	""	"Suspected CMR""Suspected PBT/vPvB""Sensitiser""Consumer use""Exposure of workers""Wide dispersive use"	""	"19-janv.-2016"	
"p-(2,3-epoxypropoxy)-N,N-bis(2,3-epoxypropyl)aniline"	""	"225-716-2"	"5026-74-4"	""	""	"Denmark"	"Suspected Mutagenic""Suspected Sensitiser""Consumer use""Exposure of workers"	"Withdrawn"	"22-mars-2022"	""	""	"https://echa.europa.eu/documents/10162/94082025-a11a-bad3-1557-e53398f2bed2""https://echa.europa.eu/documents/10162/5eec9616-73fb-f948-b6c8-6cd725d5b203"	"17-mars-2015"	""	"Danish EPA, Chemicals Division"	""	""	"Dossier evaluation process to be completed before initiating substance evaluation. The substance may be put in CoRAP again, if after conclusion of the dossier evaluation process, concerns would remain, beyond what can be clarified through dossier evaluation."	"Suspected Mutagenic""Suspected Sensitiser""Consumer use""Exposure of workers"	""	"14-janv.-2016"	
"Barium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]toluene-4-sulphonate]"	""	"225-935-3"	"5160-02-1"	""	"2020"	"Germany"	"Suspected Carcinogenic""Exposure of workers""Wide dispersive use"	"Concluded"	"21-juin-2022"	""	"https://echa.europa.eu/documents/10162/ef7752c5-3394-c1e8-fdce-2b3f2518adbe"	"https://echa.europa.eu/documents/10162/c4828219-7829-047f-45e1-84394f647450"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected Carcinogenic""Exposure of workers""Wide dispersive use"	""	"22-mars-2016"	
"Citral"	""	"226-394-6"	"5392-40-5"	""	"2015"	"Sweden"	"Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/6f9c1efe-b01a-bd4e-7963-bd7b19bad2cb"	"https://echa.europa.eu/documents/10162/9779fd9f-70f6-19ad-003b-7d259b4516c2"	"26-mars-2014"	"Esplanaden 3a, P.O Box 2, SE-172 13 Sundbyberg, Sweden 
"	"Swedish Chemicals Agency"	""	""	""	"Sensitiser""Consumer use""Exposure of workers""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"2,9-dimethylanthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-1,3,8,10(2H,9H)-tetrone"	""	"226-866-1"	"5521-31-3"	""	""	"Belgium"	"Suspected PBT/vPvB"	"Withdrawn"	"22-mars-2022"	""	""	"https://echa.europa.eu/documents/10162/353ec567-8947-a468-6656-d6be282e779a""https://echa.europa.eu/documents/10162/d7a0b999-0d66-294b-e81b-a0d7e702e0c3"	"19-mars-2019"	""	"Federal Public Service Health, Food Chain Safety and Environment"	""	""	"Dossier evaluation process to be completed before initiating substance evaluation. The substance may be put in CoRAP again, if after conclusion of the dossier evaluation process, concerns would remain, beyond what can be clarified through dossier evaluation."	"Suspected PBT/vPvB"	""	"19-mars-2019"	
"4,4'-isopropylidenedi-2,6-xylol"	""	"227-033-5"	"5613-46-7"	""	"2024"	"Denmark"	"Suspected Reprotoxic""Potential endocrine disruptor""Exposure of environment""Exposure of workers""Wide dispersive use"	"Ongoing"	"19-mars-2024"	""	""	"https://echa.europa.eu/documents/10162/4121a52c-2004-8fd4-9eed-095d9650fba5"	"19-mars-2024"	"Tolderlundsvej 5, 5000 Odense C, Denmark"	"Danish Environmental Protection Agency"	""	""	"(EC: 217-121-1; 227-033-5; 242-895-2; 248-607-1): due to the indication of structural similarity, these substances may potentially be addressed in a joint evaluation."	"Suspected Reprotoxic""Potential endocrine disruptor""Exposure of environment""Exposure of workers""Wide dispersive use"	""	"19-mars-2024"	
"Octocrilene"	""	"228-250-8"	"6197-30-4"	""	"2012"	"France"	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	"Information requested"	"21-juil.-2022"	"https://echa.europa.eu/documents/10162/1a3e76a2-797a-b894-29e3-d290f4cb4fe4""https://echa.europa.eu/documents/10162/a9fe9bc3-1dc3-03f2-b307-c25de6fbe6fb"	""	""	"29-févr.-2012"	"REACH &amp; CLP Unit, 253 avenue du General Leclerc. 94700 Maisons-Alfort Cedex
"	"French Agency for Food, Environmental and Occupational Health &amp; Safety (Anses)"	""	"<a href=""https://echa.europa.eu/documents/10162/54b57277-2af3-eee3-3db7-5e67a95704cf"">The Board of Appeal in its decision in Case No. A-013-2014 has upheld a SEv decision for this substance</a>"	""	"Suspected PBT/vPvB""High (aggregated) tonnage""Wide dispersive use"	""	"14-janv.-2016"	
"Hexyl salicylate"	""	"228-408-6"	"6259-76-3"	""	"2012"	"Netherlands"	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	"Concluded"	"25-mars-2020"	"https://echa.europa.eu/documents/10162/7b2bc51c-c19c-4aaf-3837-7619a76b9dab"	"https://echa.europa.eu/documents/10162/975fec72-6d90-e81c-bdca-49e2cce85120"	""	"29-févr.-2012"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string: ”SUBSTANCE EVALUATION&#34;."	"<a href=""http://echa.europa.eu/about-us/who-we-are/board-of-appeal/announcements"">The Board of Appeal in its decision in Case No. A-006-2014 has upheld a SEv decision for this substance</a>"	""	"Suspected CMR""Consumer use""High (aggregated) tonnage""High RCR""Wide dispersive use"	""	"14-janv.-2016"	
"2-[(2-methoxy-4-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutyramide"	""	"228-768-4"	"6358-31-2"	""	"2019"	"Italy"	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	"Suspended"	"23-avr.-2020"	""	""	"https://echa.europa.eu/documents/10162/3f8635d6-172e-9b2f-e1a2-f97bbba73cac"	"19-mars-2019"	"299 Viale Regina Elena, 00161 ROME"	"Institute of Health"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 229-355-1 and 229-419-9."	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	""	"19-mars-2019"	
"2-[(4-chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide"	""	"229-355-1"	"6486-23-3"	""	"2019"	"Italy"	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	"Suspended"	"23-avr.-2020"	""	""	"https://echa.europa.eu/documents/10162/46f1b33c-bd63-66db-e0aa-f6236a8607e4"	"19-mars-2019"	"299 Viale Regina Elena, 00161 ROME"	"Institute of Health"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 228-768-4 and 229-419-9."	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	""	"19-mars-2019"	
"2-[(4-methoxy-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutyramide"	""	"229-419-9"	"6528-34-3"	""	"2019"	"Italy"	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	"Ongoing"	"07-juil.-2020"	""	""	"https://echa.europa.eu/documents/10162/bba7fded-5218-419c-c5b1-9bbb8d913674"	"19-mars-2019"	"299 Viale Regina Elena, 00161 ROME"	"Institute of Health"	""	""	"Due to the indication of structural similarity, this substance may potentially be addressed in joint evaluation with 228-768-4 and 229-355-1."	"Suspected PBT/vPvB""Exposure of environment""High (aggregated) tonnage""Wide dispersive use"	""	"19-mars-2019"	
"Di-tert-butyl 3,3,5-trimethylcyclohexylidene diperoxide"	""	"229-782-3"	"6731-36-8"	""	"2014"	"Germany"	"Suspected PBT/vPvB"	"Information requested"	"13-juil.-2021"	"https://echa.europa.eu/documents/10162/94a0e5e4-6aa3-6c83-5ac3-e3549c3dcf3b""https://echa.europa.eu/documents/10162/f205b915-5ae7-6190-83c1-4df83a4dc2ef"	""	"https://echa.europa.eu/documents/10162/f6ff608f-4936-4690-0d81-3c851c3c45fa"	"26-mars-2014"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected PBT/vPvB"	""	"14-janv.-2016"	
"disodium metasilicate"	""	"229-912-9"	"6834-92-0"	""	"2015"	"Latvia"	"Suspected Reprotoxic""Consumer use""High (aggregated) tonnage""High RCR"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/0dce713c-f39f-8b7e-c178-d221a8ac4e02"	"https://echa.europa.eu/documents/10162/00d17621-1995-b0ac-f0f2-cb3d9d6a3cc3"	"17-mars-2015"	"Maskavas street 165, LV-1019 
"	"Latvian Environment, Geology and Meteorology Centre"	""	""	""	"Suspected Reprotoxic""Consumer use""High (aggregated) tonnage""High RCR"	""	"14-janv.-2016"	
"2,2'-dimethyl-4,4'-methylenebis(cyclohexylamine)"	""	"229-962-1"	"6864-37-5"	""	"2015"	"Germany"	"Potential endocrine disruptor"	"Concluded"	"01-juin-2022"	""	"https://echa.europa.eu/documents/10162/1088dd6d-8716-0e2e-569b-8edc415b91ee"	"https://echa.europa.eu/documents/10162/4d518bd7-e80d-be39-5218-66008fb03107"	"26-mars-2014"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Potential endocrine disruptor"	""	"14-janv.-2016"	
"Silver"	""	"231-131-3"	"7440-22-4"	""	"2014"	"Netherlands"	"Other hazard based concern""High (aggregated) tonnage""Other exposure/risk based concern""Wide dispersive use"	"Concluded"	"24-mars-2020"	"https://echa.europa.eu/documents/10162/d2148173-ecbf-3f1b-988d-89ba9d06680d"	"https://echa.europa.eu/documents/10162/776ad739-c591-16fd-2e2c-62b9e50169ee"	"https://echa.europa.eu/documents/10162/5a97f7d5-5bbe-f236-f2d5-33c2030e1e29"	"26-mars-2014"	""	"Ministry of Infrastructure and the Environment"	"Correspondence related to Substance evaluations should contain in the subject field the following string: ”SUBSTANCE EVALUATION&#34;."	""	""	"Other hazard based concern""High (aggregated) tonnage""Other exposure/risk based concern""Wide dispersive use"	""	"14-janv.-2016"	
"Antimony"	""	"231-146-5"	"7440-36-0"	""	"2018"	"Germany"	"Suspected Carcinogenic""Exposure of workers""High (aggregated) tonnage""High RCR""Other exposure/risk based concern""Wide dispersive use"	"Follow-up"	"28-févr.-2024"	"https://echa.europa.eu/documents/10162/2adaa505-cca2-9c52-0a99-7eb2db7271b5"	""	"https://echa.europa.eu/documents/10162/74f7d166-6ebd-daf7-6c85-483f48a1005d"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	"<a href=""https://echa.europa.eu/documents/10162/b06ac172-008b-bec8-6e67-7a0ba9347810"">The Board of Appeal in its decision in Case No. A-003-2020 has upheld a SEv decision for this substance:</a>"	"(EC: 215-175-0; 215-713-4; 231-146-5; 233-047-2; 249-820-2) due to the indication of structural similarity, these substances may potentially be addressed in joint evaluation."	"Suspected Carcinogenic""Exposure of workers""High (aggregated) tonnage""High RCR""Other exposure/risk based concern""Wide dispersive use"	""	"22-mars-2016"	
"Beryllium"	""	"231-150-7"	"7440-41-7"	""	"2013"	"Germany"	"Other exposure/risk based concern"	"Concluded"	"24-mars-2020"	""	"https://echa.europa.eu/documents/10162/1c4c2079-79b4-4059-875f-d9eb99b91a5c""https://echa.europa.eu/documents/10162/c0a122c6-751e-9ee3-4ac6-971f3a60e444"	"https://echa.europa.eu/documents/10162/5a57cfb6-2869-e03d-0676-2ce1586abc24"	"20-mars-2013"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Other exposure/risk based concern"	""	"14-janv.-2016"	
