Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"Distillats aromatiques légers (pétrole), Naphta de craquage thermique à point d'ébullition bas",,67891-80-9,,649-319-00-2,,,,C1B,,M1B,,,,,
"Distillats aromatiques lourds (pétrole), Naphta de craquage thermique à point d'ébullition bas",,67891-79-6,,649-318-00-7,,,,C1B,,M1B,,,,,
"Distillats de goudron de houille, fraction benzol, Huile légère",,84650-02-2,,648-001-00-0,,,,C1B,,,,,,,
"Distillats de goudron de houille, Huile anthracénique lourde",,65996-92-1,,648-047-00-1,,,,C1B,,,,,,,
"Distillats de goudron de houille, huiles de naphtalène, Huile naphtalénique",,84650-04-4,,648-085-00-9,,,,C1B,,M1B,,,,,
"Distillats de goudron de houille, huiles légères, Huile phénolique",,84650-03-3,,648-023-00-0,,,,C1B,,M1B,,,,,
"Distillats de naphta lourd hydrotraité (pétrole), produits de tête du désisohexaniseur, Naphta hydrotraité à point d'ébullition bas",,68410-98-0,,649-333-00-9,,,,C1B,,M1B,,,,,
"Distillats de tête (pétrole), dépentaniseur, Naphta à point d'ébullition bas - non spécifié",,68477-89-4,,649-363-00-2,,,,C1B,,M1B,,,,,
"Distillats de vapocraquage (pétrole), fraction C5-12, Naphta à point d'ébullition bas - non spécifié",,68477-53-2,,649-360-00-6,,,,C1B,,M1B,,,,,
"Distillats de vapocraquage (pétrole), fraction en C5-10, mélange avec la fraction en C5 de naphta pétrolier de vapocraquage léger, Naphta à point d'ébullition bas - non spécifié",,68477-55-4,,649-361-00-1,,,,C1B,,M1B,,,,,
"Distillats de vapocraquage (pétrole), fraction en C8-12 polymérisée, produits légers de distillation, Naphta à point d'ébullition bas",,95009-23-7,,649-390-00-X,,,,C1B,,M1B,,,,,
"Distillats d'huiles de naphtalène (goudron de houille), à faible teneur en naphtalène, Distillat d'huile naphtalénique",,84989-09-3,,648-086-00-4,,,,C1B,,M1B,,,,,
"Distillats d'hydrocraquage (charbon), extraction au solvant",,94114-53-1,,648-149-00-6,,,,C1B,,M1B,,,,,
"Distillats en C3-5 (pétrole), riches en 2-méthyl-2 butène, Naphta à point d'ébullition bas - non spécifié",,68477-34-9,,649-358-00-5,,,,C1B,,M1B,,,,,
"Distillats en C3-6 (pétrole), riches en pipérylène, Gaz de pétrole",,68477-35-0,,649-205-00-2,,,,C1A,,M1B,,,,,
"Distillats en C7-9 riches en C8 (pétrole), hydrodésulfurés et désaromatisés, Naphta à point d'ébullition bas - non spécifié",,101316-56-7,,649-394-00-1,,,,C1B,,M1B,,,,,
"Distillats intermédiaires (pétrole), craquage catalytique, dégradation thermique, Fioul lourd",,92201-59-7,,649-044-00-8,,,,C1B,,,,,,,
"Distillats intermédiaires (pétrole), craquage catalytique, Gazole de craquage",,64741-60-2,,649-436-00-9,,,,C1B,,,,,,,
"Distillats intermédiaires (pétrole), craquage catalytique, hydrodésulfuration, Fioul lourd",,68333-27-7,,649-021-00-2,,,,C1B,,,,,,,
"Distillats intermédiaires sous vide (pétrole), Fioul lourd",,70592-76-6,,649-036-00-4,,,,C1B,,,,,,,
"Distillats légers (pétrole), craquage catalytique, dégradation thermique, Gazole de craquage",,92201-60-0,,649-447-00-9,,,,C1B,,,,,,,
"Distillats légers (pétrole), craquage catalytique, Gazole de craquage",,64741-59-9,,649-435-00-3,,,,C1B,,,,,,,
"Distillats légers (pétrole), craquage catalytique, hydrodésulfuration, Gazole de craquage",,68333-25-5,,649-439-00-5,,,,C1B,,,,,,,
"Distillats légers (pétrole), craquage thermique, aromatiques débutanisés, Naphta de craquage thermique à point d'ébullition bas",,68955-29-3,,649-325-00-5,,,,C1B,,M1B,,,,,
"Distillats légers (pétrole), craquage thermique, Gazole de craquage",,64741-82-8,,649-438-00-X,,,,C1B,,,,,,,
"Distillats légers (pétrole), dérivés de vapocraquage de naphta, hydrotraités et raffinés au solvant, Naphta modifié à point d'ébullition bas",,91995-53-8,,649-283-00-8,,,,C1B,,M1B,,,,,
"Distillats légers (pétrole), hydrocraquage, Gazole de craquage",,64741-77-1,,649-437-00-4,,,,C2,,,,,,,
"Distillats légers (pétrole), hydrocraquage, raffinés au solvant, Huile de base - non spécifié",,94733-09-2,,649-505-00-3,,,,C1B,,,,,,,
"Distillats légers (pétrole), hydrotraitement, reformage catalytique, fraction aromatique en C8-12, Naphta de reformage catalytique à point d'ébullition bas",,85116-58-1,,649-309-00-8,,,,C1B,,M1B,,,,,
"Distillats légers (pétrole), raffinés au solvant, hydrocraquage, Huile de base - non spécifié",,97488-73-8,,649-512-00-1,,,,C1B,,,,,,,
"Distillats légers (pétrole), traités à l'acide, Gazole - non spécifié",,64742-14-9,,649-217-00-8,,,,C1B,,,,,,,
"Distillats légers de distillation directe (pétrole), Naphta à point d'ébullition bas",,68410-05-9,,649-268-00-6,,,,C1B,,M1B,,,,,
"Distillats légers hydrotraités (pétrole), à bas point d'ébullition, Naphta hydrotraité à point d'ébullition bas",,68410-97-9,,649-332-00-3,,,,C1B,,M1B,,,,,
"Distillats légers sous vide (pétrole), Fioul lourd",,70592-77-7,,649-037-00-X,,,,C1B,,,,,,,
"Distillats lourds (pétrole), craquage catalytique, Fioul lourd",,64741-61-3,,649-010-00-2,,,,C1B,,,,,,,
"Distillats lourds (pétrole), craquage catalytique, hydrodésulfuration, Fioul lourd",,68333-28-8,,649-022-00-8,,,,C1B,,,,,,,
"Distillats lourds (pétrole), craquage thermique, Fioul lourd",,64741-81-7,,649-014-00-4,,,,C1B,,,,,,,
"Distillats lourds (pétrole), hydrocraquage, Huile de base - non spécifié",,64741-76-0,,649-453-00-1,,,,C1B,,,,,,,
"Distillats lourds (pétrole), hydrogénés raffinés au solvant, Huile de base - non spécifié",,97488-74-9,,649-513-00-7,,,,C1B,,,,,,,
"Distillats lourds (pétrole), hydrotraités, raffinés au solvant, hydrogénés, Huile de base - non spécifié",,94733-08-1,,649-504-00-8,,,,C1B,,,,,,,
"Distillats lourds (pétrole), vapocraquage, Gazole de craquage",,101631-14-5,,649-452-00-6,,,,C1B,,,,,,,
"Distillats moyens (pétrole), adoucis, Gazole - non spécifié",,64741-86-2,,649-212-00-0,,,,C1B,,,,,,,
"Distillats moyens (pétrole), craquage thermique, hydrodésulfuration, Gazole de craquage",,85116-53-6,,649-443-00-7,,,,C1B,,,,,,,
"Distillats moyens (pétrole), hautement raffinés, Gazole - non spécifié",,90640-93-0,,649-231-00-4,,,,C1B,,,,,,,
"Distillats moyens (pétrole), hydrodésulfurés, Gazole - non spécifié",,64742-80-9,,649-223-00-0,,,,C1B,,,,,,,
"Distillats moyens (pétrole), hydrotraités, Gazole - non spécifié",,64742-46-7,,649-221-00-X,,,,C1B,,,,,,,
"Distillats moyens (pétrole), neutralisés chimiquement, Gazole - non spécifié",,64742-30-9,,649-219-00-9,,,,C1B,,,,,,,
"Distillats moyens (pétrole), raffinés au solvant, Gazole - non spécifié",,64741-91-9,,649-214-00-1,,,,C1B,,,,,,,
"Distillats moyens (pétrole), traités à la terre, Gazole - non spécifié",,64742-38-7,,649-220-00-4,,,,C1B,,,,,,,
"Distillats moyens (pétrole), traités à l'acide, Gazole - non spécifié",,64742-13-8,,649-216-00-2,,,,C1B,,,,,,,
"Distillats moyens à large intervalle d'ébullition (pétrole), hydrodésulfurés, Fioul lourd",,101316-57-8,,649-047-00-4,,,,C1B,,,,,,,
"Distillats moyens de cokéfaction (pétrole), hydrodésulfurés, Gazole de craquage",,101316-59-0,,649-451-00-0,,,,C1B,,,,,,,
"Distillats moyens d'hydrocraquage (charbon), extraction au solvant",,94114-56-4,,648-152-00-2,,,,C1B,,M1B,,,,,
"Distillats moyens d'hydrocraquage (charbon), extraction au solvant, hydrogénés",,94114-57-5,,648-153-00-8,,,,C1B,,M1B,,,,,
"Distillats moyens hydrotraités (pétrole), à point d'ébullition intermédiaire, Naphta hydrotraité à point d'ébullition bas",,68410-96-8,,649-331-00-8,,,,C1B,,M1B,,,,,
"Distillats naphténiques légers (pétrole), déparaffinés au solvant, Huile de base - non spécifié",,64742-64-9,,649-473-00-0,,,,C1B,,,,,,,
"Distillats naphténiques légers (pétrole), Huile de base non raffinée ou légèrement raffinée",,64741-52-2,,649-052-00-1,,,,C1A,,,,,,,
"Distillats naphténiques légers (pétrole), hydrotraités, Huile de base - non spécifié",,64742-53-6,,649-466-00-2,,,,C1B,,,,,,,
"Distillats naphténiques légers (pétrole), neutralisés chimiquement, Huile de base non raffinée ou légèrement raffinée",,64742-35-4,,649-061-00-0,,,,C1A,,,,,,,
"Distillats naphténiques légers (pétrole), raffinés au solvant, Huile de base - non spécifié",,64741-97-5,,649-458-00-9,,,,C1B,,,,,,,
"Distillats naphténiques légers (pétrole), raffinés au solvant, hydrotraités, Huile de base - non spécifié",,91995-54-9,,649-496-00-6,,,,C1B,,,,,,,
"Distillats naphténiques légers (pétrole), traités à la terre, Huile de base - non spécifié",,64742-45-6,,649-464-00-1,,,,C1B,,,,,,,
"Distillats naphténiques légers (pétrole), traités à l'acide, Huile de base non raffinée ou légèrement raffinée",,64742-19-4,,649-055-00-8,,,,C1A,,,,,,,
"Distillats naphténiques lourds (pétrole), déparaffinés au solvant, Huile de base - non spécifié",,64742-63-8,,649-472-00-5,,,,C1B,,,,,,,
"Distillats naphténiques lourds (pétrole), Huile de base non raffinée ou légèrement raffinée",,64741-53-3,,649-053-00-7,,,,C1A,,,,,,,
"Distillats naphténiques lourds (pétrole), hydrotraités, Huile de base - non spécifié",,64742-52-5,,649-465-00-7,,,,C1B,,,,,,,
"Distillats naphténiques lourds (pétrole), neutralisés chimiquement, Huile de base non raffinée ou légèrement raffinée",,64742-34-3,,649-060-00-5,,,,C1A,,,,,,,
"Distillats naphténiques lourds (pétrole), raffinés au solvant, Huile de base - non spécifié",,64741-96-4,,649-457-00-3,,,,C1B,,,,,,,
"Distillats naphténiques lourds (pétrole), traités à la terre, Huile de base - non spécifié",,64742-44-5,,649-463-00-6,,,,C1B,,,,,,,
"Distillats naphténiques lourds (pétrole), traités à l'acide, Huile de base non raffinée ou légèrement raffinée",,64742-18-3,,649-054-00-2,,,,C1A,,,,,,,
"Distillats paraffiniques intermédiaires (pétrole), traités à la terre, Gazole - non spécifié",,100683-99-6,,649-241-00-9,,,,C1B,,,,,,,
"Distillats paraffiniques intermédiaires (pétrole), traités au charbon, Gazole - non spécifié",,100683-98-5,,649-240-00-3,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant et hydrotraités, Huile de base - non spécifié",,90640-97-4,,649-490-00-3,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant et traités à la terre, Huile de base - non spécifié",,90640-96-3,,649-489-00-8,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant, Huile de base - non spécifié",,64742-56-9,,649-469-00-9,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), déparaffinés, hydrotraités, Huile de base - non spécifié",,91995-40-3,,649-494-00-5,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), Huile de base non raffinée ou légèrement raffinée",,64741-50-0,,649-050-00-0,,,,C1A,,,,,,,
"Distillats paraffiniques légers (pétrole), hydrotraités, Huile de base - non spécifié",,64742-55-8,,649-468-00-3,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), neutralisés chimiquement, Huile de base non raffinée ou légèrement raffinée",,64742-28-5,,649-059-00-X,,,,C1A,,,,,,,
"Distillats paraffiniques légers (pétrole), raffinés au solvant, Huile de base - non spécifié",,64741-89-5,,649-455-00-2,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), traités à la terre, Huile de base - non spécifié",,64742-37-6,,649-461-00-5,,,,C1B,,,,,,,
"Distillats paraffiniques légers (pétrole), traités à l'acide, Huile de base non raffinée ou légèrement raffinée",,64742-21-8,,649-057-00-9,,,,C1A,,,,,,,
"Distillats paraffiniques légers (pétrole), traités au charbon, Gazole - non spécifié",,100683-97-4,,649-239-00-8,,,,C1B,,,,,,,
"Distillats paraffiniques légers complexes (pétrole), déparaffinés, Huile de base - non spécifié",,90640-92-9,,649-486-00-1,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), déparaffinés au solvant et traités à la terre, Huile de base - non spécifié",,90640-94-1,,649-487-00-7,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), déparaffinés au solvant, Huile de base - non spécifié",,64742-65-0,,649-474-00-6,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), déparaffinés, hydrotraités, Huile de base - non spécifié",,91995-39-0,,649-493-00-X,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), Huile de base non raffinée ou légèrement raffinée",,64741-51-1,,649-051-00-6,,,,C1A,,,,,,,
"Distillats paraffiniques lourds (pétrole), hydrotraités, Huile de base - non spécifié",,64742-54-7,,649-467-00-8,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), neutralisés chimiquement, Huile de base non raffinée ou légèrement raffinée",,64742-27-4,,649-058-00-4,,,,C1A,,,,,,,
"Distillats paraffiniques lourds (pétrole), raffinés au solvant, Huile de base - non spécifié",,64741-88-4,,649-454-00-7,,,,C1B,,,,,,,
"Distillats paraffiniques lourds (pétrole), traité à l'acide, Huile de base non raffinée ou légèrement raffinée",,64742-20-7,,649-056-00-3,,,,C1A,,,,,,,
"Distillats paraffiniques lourds (pétrole), traités à la terre, Huile de base - non spécifié",,64742-36-5,,649-460-00-X,,,,C1B,,,,,,,
"Distillats paraffiniques lourds complexes (pétrole), déparaffinés, Huile de base - non spécifié",,90640-91-8,,649-485-00-6,,,,C1B,,,,,,,
"Distillats primaires (charbon), extraction au solvant liquide",,94114-52-0,,648-148-00-0,,,,C1B,,M1B,,,,,
"Distillats riches en BTX (goudron de houille), fraction benzole , distillat d'huile légère, bas point d'ébullition",,101896-26-8,,648-004-00-7,,,,C1B,,M1B,,,,,
"Distillats sous vide (pétrole), Fioul lourd",,70592-78-8,,649-038-00-5,,,,C1B,,,,,,,
"Distillats sous vide (pétrole), résidus de pétrole, Fioul lourd",,68955-27-1,,649-034-00-3,,,,C1B,,,,,,,
"Distillats supérieurs (goudron de houille), exempts de fluorène, Distillat d'huile de lavage",,84989-10-6,,648-078-00-0,,,,C1B,,,,,,,
"Distillats supérieurs (goudron de houille), riches en fluorène, Distillat d'huile de lavage",,84989-11-7,,648-042-00-4,,,,C1B,,,,,,,
"Distillats supérieurs de goudron de houille (charbon), Huile anthracénique lourde",,65996-91-0,,648-045-00-0,,,,C1B,,,,,,,
Disulfure de carbone,,75-15-0,,006-003-00-3,,,,,,,,R2,H361fd,,
Disulfure de trinickel,sous-sulfure de nickel,12035-72-2,,028-007-00-4,17ème,,,C1A,H350i,M2,,,,,
Dithiocyanate de nickel,,13689-92-4,,028-046-00-7,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Diuron (ISO),"3-(3,4-dichlorophényl)-1,1-diméthylurée",330-54-1,,006-015-00-9,1ère corr,,,C2,,,,,,,
DNOC (ISO),"4,6-dinitro-o-crésol",534-52-1,,609-020-00-X,,,,,,M2,,,,,
"Dodécachloropentacyclo[5.2.1.02,6.03,9.05,8 ]décane",mirex,2385-85-5,,602-077-00-1,,,,C2,,,,R2,H361fd,,
"Dodécylphénol, ramifié",,121158-58-5,,604-092-00-9,9ème,,,,,,,R1B,H360F,,
Dodémorphe (ISO),,1593-77-7,,613-057-00-7,7ème,,,,,,,R2,H361d,,
Epoxiconazole (ISO),"(2RS,3SR)-3-(2-chlorophényl)-2-(4-fluorophényl)-[(1H-1,2,4-triazol-1-yl)méthyl]oxiranne",133855-98-8,,613-175-00-9,5ème,,,C2,,,,R1B,H360Df,,
Epoxyde d'heptachlore,"2,3-époxy-1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tétrahydro-4,7-méthanoindane",1024-57-3,,602-063-00-5,,,,C2,,,,,,,
Erionite,,12510-42-8,,650-012-00-0,,,,C1A,,,,,,,
"Essence de distillation directe, unité de fractionnement, Naphta à point d'ébullition bas",,68606-11-1,,649-270-00-7,,,,C1B,,M1B,,,,,
"Essence de pyrolyse, hydrogénée, Naphta à point d'ébullition bas - non spécifié",,94114-03-1,,649-389-00-4,,,,C1B,,M1B,,,,,
"Essence de pyrolyse, résidus de dépropaniseur, Naphta à point d'ébullition bas - non spécifié",,68606-10-0,,649-373-00-7,,,,C1B,,M1B,,,,,
"Essence en C5-11, de reformage, stabilisée, haut indice d'octane, Naphta de reformage catalytique à point d'ébullition bas",,93572-29-3,,649-312-00-4,,,,C1B,,M1B,,,,,
"Essence naturelle, Naphta à point d'ébullition bas",,8006-61-9,,649-261-00-8,,,,C1B,,M1B,,,,,
"Essence, extraction au solvant de charbon, naphta d'hydrocraquage",,94114-55-3,,648-151-00-7,,,,C1B,,,,,,,
"Essence, Naphta à point d'ébullition bas - non spécifié",,86290-81-5,,649-378-00-4,,,,C1B,,M1B,,,,,
"Essence, récupération de vapeur, Naphta à point d'ébullition bas",,68514-15-8,,649-269-00-1,,,,C1B,,M1B,,,,,
"Ester dipentylique (ramifié et linéaire) de l'acide 1,2-benzènedicarboxylique",,84777-06-0,,607-426-00-1,,,,,,,,R1B,H360FD,,
"éthanol, 2, 2'-iminobis-, dérivés N-(alkyl en C13-15, ramifié et droit)",,97925-95-6,,603-236-00-8,14ème,,,,,,,R1B,H360D,,
Ethylèneimine,aziridine,151-56-4,,613-001-00-1,,,,C1B,,M1B,,,,,
Ethylènethiourée,"2-imidazoline-2-thiol , imidazolidine-2-thione",96-45-7,,613-039-00-9,,,,,,,,R1B,H360D,,
"Extraits (pétrole), désasphaltage au solvant de distillats paraffiniques lourds, Extrait aromatique de distillat (traité)",,68814-89-1,,649-533-00-6,,,,C1B,,,,,,,
"Extraits à l'acide à froid en C4-6 (pétrole), Naphta à point d'ébullition bas - non spécifié",,68477-61-2,,649-362-00-7,,,,C1B,,M1B,,,,,
Extraits alcalins d'huile de goudron de houille (charbon),,65996-83-0,,648-113-00-X,,,,C1B,,M1B,,,,,
"Extraits au solvant (pétrole), distillat naphténique léger",,64742-03-6,,649-001-00-3,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat naphténique léger, hydrodésulfurés, Extrait aromatique de distillat (traité)",,91995-75-4,,649-538-00-3,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat naphténique lourd",,64742-11-6,,649-004-00-X,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat naphténique lourd, hydrotraités, Extrait aromatique de distillat (traité)",,90641-07-9,,649-534-00-1,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique léger",,64742-05-8,,649-003-00-4,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique léger hydrotraité, Extrait aromatique de distillat (traité)",,91995-73-2,,649-537-00-8,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique léger, hydrodésulfurés, Extrait aromatique de distillat (traité)",,91995-77-6,,649-540-00-4,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique léger, hydrotraités, Extrait aromatique de distillat (traité)",,90641-09-1,,649-536-00-2,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique léger, traités à l'acide, Extrait aromatique de distillat (traité)",,91995-76-5,,649-539-00-9,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique lourd",,64742-04-7,,649-002-00-9,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique lourd, hydrotraités, Extrait aromatique de distillat (traité)",,90641-08-0,,649-535-00-7,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), distillat paraffinique lourd, traités à la terre, Extrait aromatique de distillat (traité)",,92704-08-0,,649-542-00-5,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), gazole léger sous vide",,91995-78-7,,649-005-00-5,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), gazole léger sous vide, hydrotraités, Extrait aromatique de distillat (traité)",,91995-79-8,,649-541-00-X,,,,C1B,,,,,,,
"Extraits au solvant (pétrole), naphta léger de reformage catalytique, Naphta à point d'ébullition bas - non spécifié",,91995-68-5,,649-382-00-6,,,,C1B,,M1B,,,,,
"Extraits au solvant (pétrole), naphta lourd, traités à la terre, Naphta à point d'ébullition bas - non spécifié",,97926-43-7,,649-391-00-5,,,,C1B,,M1B,,,,,
"Extraits au solvant de distillat naphténique lourd (pétrole), concentré aromatique, Extrait aromatique de distillat (traité)",,68783-00-6,,649-531-00-5,,,,C1B,,,,,,,
"Extraits au solvant de distillat paraffinique léger (pétrole), traités à la terre, Extrait aromatique de distillat (traité)",,100684-03-5,,649-546-00-7,,,,C1B,,,,,,,
"Extraits au solvant de distillat paraffinique léger (pétrole), traités au charbon, Extrait aromatique de distillat (traité)",,100684-02-4,,649-545-00-1,,,,C1B,,,,,,,
"Extraits au solvant de distillat paraffinique lourd raffiné au solvant (pétrole), Extrait aromatique de distillat (traité)",,68783-04-0,,649-532-00-0,,,,C1B,,,,,,,
"Extraits au solvant de gazole léger sous vide (pétrole), traités à la terre, Extrait aromatique de distillat (traité)",,100684-05-7,,649-548-00-8,,,,C1B,,,,,,,
"Extraits au solvant de gazole léger sous vide (pétrole), traités au charbon, Extrait aromatique de distillat (traité)",,100684-04-6,,649-547-00-2,,,,C1B,,,,,,,
"Extraits au solvant hydrodésulfurés (pétrole), distillat naphténique lourd, Extrait aromatique de distillat (traité)",,93763-10-1,,649-543-00-0,,,,C1B,,,,,,,
"Extraits au solvant hydrodésulfurés (pétrole), distillat paraffinique lourd déparaffiné au solvant, Extrait aromatique de distillat (traité)",,93763-11-2,,649-544-00-6,,,,C1B,,,,,,,
Fénarimol (ISO),"alcool 2,4'-dichloro-α-(pyrimidine-5-yl)benzhydrylique",60168-88-9,,603-104-00-X,,,,,,,,R2,H361fd,,
Fénoxycarb (ISO),[2-(4-phénoxyphénoxy)éthyl]carbamate d'éthyle,72490-01-8,,006-086-00-6,6ème,,,C2,,,,,,,
Fenpropimorph (ISO),"cis-4-[3-(p-tert-butylphényl)-2-méthylpropyl]-2,6-diméthylmorpholine",67564-91-4,,613-124-00-0,,,,,,,,R2,H361d,,
Fenthion (ISO),"thiophosphate de O,O-diméthyle et de O-(4-méthylthio-m-tolyle)",55-38-9,,015-048-00-8,1ère,,,,,M2,,,,,
Fibres à usage spécial à l'exception de celles spécifiées ailleurs dans cette base,,,,650-017-00-8,1ère,,,C1B,H350i,,,,,,
Fibres céramiques réfractaires à l'exception de celles spécifiées ailleurs dans cette base,,,,650-017-00-8,1ère,,,C1B,H350i,,,,,,
"Fibres de carbure de silicium (diamètre < 3µm, longueur > 5µm et rapport de longueur ≥ 3:1)",,"409-21-2,308076-74-6",,014-048-00-5,15ème,,,C1B,H350i,,,,,,
Flocoumafen (ISO),,90035-08-8,,607-375-00-5,9ème,,,,,,,R1B,H360D,,
Fluazifop-butyl (ISO),(RS)-2-[4-(5-trifluorométhyl-2-pyridyloxy)phénoxy]propionate de butyle,69806-50-4,,607-304-00-8,,,,,,,,R1B,H360D,,
Fluazifop-P-butyl (ISO),(R)-2-[4-(5-trifluorométhyl-2-pyridyloxy)phénoxy]propionate de butyle,,,607-305-00-3,,,,,,,,R2,H361d,,
Fluazinam (ISO),"3-chloro- N-[3-chloro-2,6-dinitro- 4-(trifluoromethyl)phenyl]- 5-(trifluoromethyl)pyridin- 2-amine",79622-59-6,,612-287-00-5,6ème,,,,,,,R2,H361d,,
Flumioxazine (ISO),"N-(7-fluoro-3,4-dihydro-3-oxo-4-prop-2-ynyl-2H-1,4-benzoxazin-6-yl)cyclohex-1-ène-1,2-dicarboxamide",103361-09-7,,613-166-00-X,17ème,,,,,,,R2,H361d,,"Dans la 17ème ATP, passage de la classification R1B à R2"
Fluopicolide (ISO),"2,6-dichloro-N-[3-chloro-5-(trifluorométhyl)-2-pyridylméthyl]benzamide",239110-15-7,,616-237-00-3,18ème,,,,,,,R2,H361d,,
Fluorure de cadmium,,7790-79-6,,048-006-00-2,,61,,C1B,,M1B,,R1B,H360FD,,
Fluorure de nickel et de potassium,,11132-10-8,,028-029-00-4,1ère,,,C1A,H350i,M2,,R1B,H360D,,
Flurochloridone (ISO),3-chloro-4-(chlorométhyl)-1-[3-(trifluorométhyl)phényl]pyrrolidin-2-one,61213-25-0,,613-334-00-2,15ème,,,,,,,R1B,H360FD,,
Flusilazole (ISO),"bis(4-fluorophényle)(méthyle)(1H-1,2,4-triazol-1-ylméthyle)silane",85509-19-9,,014-017-00-6,,,,C2,,,,R1B,H360D,,
Folpet (ISO),N-(trichlorométhylthio)phtalimide,133-07-3,,613-045-00-1,1ère,,,C2,,,,,,,
Forchlorfenuron (ISO),1-(2-chloro-4-pyridyl)-3-phénylurée,68157-60-8,,613-254-00-8,1ère,,,C2,,,,,,,
Formaldéhyde … %,aldéhyde formique,50-00-0,,605-001-00-5,6ème,43 BIS,,C1B,,M2,,,,,
Formamide,,75-12-7,,616-052-00-8,,,,,,,,R1B ,H360D,,
"Formate de (6-(4-hydroxy-3-(2-méthoxyphénylazo)-2-sulfonato-7-naphtylamino)-1,3,5-triazine-2,4-diyl)bis[(amino-1-méthyléthyl)ammonium]",,108225-03-2,,611-058-00-7,,,,C1B,,,,,,,
"Formiate de 2-{4-(2-ammoniopropylamino)-6-[4-hydroxy-3-(5-méthyl-2-méthoxy-4-sulfamoylphénylazo)-2-sulfonatonapht-7-ylamino]-1,3,5-triazin-2-ylamino}-2-aminopropyle",,,,611-136-00-0,,,,,,,,R2,H361f,,
Fuberidazole (ISO),2-(2-furyl)-1H-benzimidazole,3878-19-1,,613-016-00-3,3ème,,,C2,,,,,,,
"Fuel-oil lourd à haute teneur en soufre, Fioul lourd",,92045-14-2,,649-042-00-7,,,,C1B,,,,,,,
"Fuel-oil résiduel, Fioul lourd",,68476-33-5,,649-024-00-9,,,,C1B,,,,,,,
"Fuel-oil, n° 2, Gazole - non spécifié",,68476-30-2,,649-225-00-1,,,,C2,,,,,,,
"Fuel-oil, n° 4, Gazole - non spécifié",,68476-31-3,,649-226-00-7,,,,C2,,,,,,,
"Fuel-oil, n° 6, Fioul lourd",,68553-00-4,,649-030-00-1,,,,C1B,,,,,,,
"Fuel-oil, résidus-gazoles de distillation directe, à haute teneur en soufre, Fioul lourd",,68476-32-4,,649-023-00-3,,,,C1B,,,,,,,
Furane,,110-00-9,,603-105-00-5,,,,C1B,,M2,,,,,
"Gasoil (pétrole), craquage thermique, hydrodésulfurisé, Gazole de craquage",,92045-29-9,,649-444-00-2,,,,C1B,,,,,,,
Gatsch (pétrole),,64742-61-6,,649-244-00-5,,,,C1B,,,,,,,
"Gatsch (pétrole), à bas point de fusion, traité à la terre",,97863-05-3,,649-251-00-3,,,,C1B,,,,,,,
"Gatsch (pétrole), à bas point de fusion, traité à l'acide silicique",,97863-06-4,,649-252-00-9,,,,C1B,,,,,,,
"Gatsch (pétrole), à bas point de fusion, traité au charbon",,97863-04-2,,649-250-00-8,,,,C1B,,,,,,,
"Gatsch (pétrole), hydrotraité",,92062-09-4,,649-247-00-1,,,,C1B,,,,,,,
"Gatsch (pétrole), traité à la terre",,90669-78-6,,649-246-00-6,,,,C1B,,,,,,,
"Gatsch (pétrole), traité à l'acide",,90669-77-5,,649-245-00-0,,,,C1B,,,,,,,
"Gatsch (pétrole), traité au charbon",,100684-49-9,,649-253-00-4,,,,C1B,,,,,,,
