Nom chimique/DCI,Numéro CAS,Numéro CE
"1-Chloro-2,3-époxypropane (épichlorhydrine)",106-89-8,203-439-8
"(R)-1-Chloro-2,3-époxypropane",51594-55-9,424-280-2
"1,2-Époxy-3-phénoxypropane (éther phénylglycidylique)",122-60-1,204-557-2
"2,3-Époxypropane-1-ol (glycidol)",556-52-5,209-128-3
"R-2,3-Époxy-1-propanol",57044-25-4,404-660-4
"2,2′-Bioxiranne (1,2:3,4-diépoxybutane)",1464-53-5,215-979-1
"(2RS, 3RS)-3-(2-Chlorophényl)-2-(4-fluorophényl)-[(1H-1,2,4-triazol-1-yl)-méthyl]oxiranne; époxiconazole",133855-98-8,406-850-2
Oxyde de chlorométhyle et de méthyle,107-30-2,203-480-1
2-Méthoxyéthanol et son acétate (acétate de 2-méthoxyéthyle),109-86-4/110-49-6,203-713-7/203-772-9
2-Éthoxyéthanol et son acétate (acétate de 2-éthoxyéthyle),110-80-5/111-15-9,203-804-1/203-839-2
"Oxybis(chlorométhane), oxyde de bis(chlorométhyle)",542-88-1,208-832-8
2-Méthoxypropanol,1589-47-5,216-455-5
Propiolactone,57-57-8,200-340-1
Chlorure de diméthylcarbamoyle,79-44-7,201-208-6
Uréthane (carbamate d'éthyle),51-79-6,200-123-1
Acide méthoxyacétique,625-45-6,210-894-6
Phtalate de dibutyle; DBP,84-74-2,201-557-4
Oxyde de bis(2-méthoxyéthyle); (diméthoxydiglycol),111-96-6,203-924-4
Phtalate de bis(2-éthylhexyle); DEHP (diéthylhexylphtalate),117-81-7,204-211-0
Phtalate de bis(2-méthoxyéthyle),117-82-8,204-212-6
Acétate de 2-méthoxypropyle,70657-70-4,274-724-2
"[[[3,5-bis(1,1-diméthyléthyl)-4-hydroxyphényl]méthyl]thio]acétate de 2-éthylhexyle",80387-97-9,279-452-8
"Acrylamide, sauf autre réglementation contenue dans le présent règlement",79-06-1,201-173-7
Acrylonitrile,107-13-1,203-466-5
2-Nitropropane,79-46-9,201-209-1
"Dinosèbe; 2-(1-méthylpropyl)-4,6-dinitrophénol, ses sels et ses esters à l'exception de ceux nommément désignés dans la présente liste",88-85-7,201-861-7
2-Nitroanisole,91-23-6,202-052-1
4-Nitrobiphényle,92-93-3,202-204-7
"2,4-Dinitrotoluène;
 Dinitrotoluène, qualité technique",121-14-2/25321-14-6,204-450-0/246-836-1
Binapacryl,485-31-4,207-612-9
2-Nitronaphtalène,581-89-5,209-474-5
"2,3-Dinitrotoluène",0602-01-07,210-013-5
5-Nitroacénaphthène,602-87-9,210-025-0
"2,6-Dinitrotoluène",606-20-2,210-106-0
"3,4-Dinitrotoluène",610-39-9,210-222-1
"3,5-Dinitrotoluène",618-85-9,210-566-2
"2,5-Dinitrotoluène",619-15-8,210-581-4
"Dinoterbe, ses sels et ses esters",1420-07-01,215-813-8
Nitrofène,1836-75-5,217-406-0
Diazométhane,334-88-3,206-382-7
"1,4,5,8-Tétraaminoanthraquinone; (Disperse Blue 1)",2475-45-8,219-603-7
1-Méthyl-3-nitro-1-nitrosoguanidine,70-25-7,200-730-1
"4,4′-Méthylènedianiline",101-77-9,202-974-4
"4,4′-(4-Iminocyclohexa-2,5-diénylidèneméthylene)dianiline, chlorhydrate",569-61-9,209-321-2
"4,4′-Méthylènedi-o-toluidine",838-88-0,212-658-8
o-Anisidine,90-04-0,201-963-1
"3,3′-Diméthoxybenzidine (ortho-dianisidine) et ses sels",119-90-4,204-355-4
Colorants azoïques dérivant de l'o-dianisidine,,
"3,3′-Dichlorobenzidine",91-94-1,202-109-0
"Benzidine, dichlorhydrate",531-85-1,208-519-6
"Sulfate de [[1,1′-biphényl]-4,4′-diyl]diammonium",531-86-2,208-520-1
"3,3′-Dichlorobenzidine, dichlorhydrate",612-83-9,210-323-0
Sulfate de benzidine,21136-70-9,244-236-4
Acétate de benzidine,36341-27-2,252-984-8
"Dihydrogénobis(sulfate) de 3,3′-dichlorobenzidine",64969-34-2,265-293-1
"Sulfate de 3,3′-dichlorobenzidine",74332-73-3,277-822-3
Colorants azoïques dérivant de la benzidine,,
"4,4′-bi-o-toluidine (ortho-tolidine)",119-93-7,204-358-0
"4,4′-bi-o-toluidine, dichlorhydrate",612-82-8,210-322-5
"Bis(hydrogénosulfate) de [3,3′-diméthyl[1,1′-biphényl]-4,4′-diyl]diammonium",64969-36-4,265-294-7
"Sulfate de 4,4′-bi-o-toluidine",74753-18-7,277-985-0
Colorants dérivant de la o-tolidine,,611-030-00-4
Biphényle-4-ylamine (4-aminobiphényle) et ses sels,92-67-1,202-177-1
Azobenzène,103-33-3,203-102-5
Acétate de (méthyl-ONN-azoxy)méthyle,592-62-1,209-765-7
Cycloheximide,66-81-9,200-636-0
2-Méthylaziridine,75-55-8,200-878-7
Imidazolidine-2-thione (éthylène thiourée),96-45-7,202-506-9
Furanne,110-00-9,203-727-3
Aziridine,151-56-4,205-793-9
Captafol,2425-06-01,219-363-3
Carbadox,6804-07-05,229-879-0
Flumioxazine,103361-09-7,613-166-00-X
Tridémorphe,24602-86-6,246-347-3
Vinclozoline,50471-44-8,256-599-6
Fluazifop-butyl,69806-50-4,274-125-6
Flusilazole,85509-19-9,014-017-00-6
"1,3,5-tris(oxirannylméthyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione (TGIC)",2451-62-9,219-514-3
Thioacétamide,62-55-5,200-541-4
Formamide,75-12-7,200-842-0
N-Méthylacétamide,79-16-3,201-182-6
N-Méthylformamide,123-39-7,204-624-6
"N,N-Diméthylacétamide",127-19-5,204-826-4
Triamide hexaméthylphosphorique,680-31-9,211-653-8
Sulfate de diéthyle,64-67-5,200-589-6
Sulfate de diméthyle,77-78-1,201-058-1
"1,3-propanesultone",1120-71-4,214-317-9
Chlorure de diméthylsulfamoyle,13360-57-1,236-412-4
Sulfallate,95-06-7,202-388-9
"Mélange de: 4-[[bis-(4-fluorophényl)méthylsilyl]méthyl]-4H-1,2,4-triazole et 1-[[bis-(4-fluorophényl)méthylsilyl]méthyl]-1H-1,2,4-triazole",,403-250-2
(+/–) (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phényloxy]propanoate de tétrahydrofurfuryle,119738-06-6,607-373-00-4
"6-Hydroxy-1-(3-isopropoxypropyl)-4-méthyl-2-oxo-5-[4-(phénylazo)phénylazo]-1,2-dihydro-3-pyridinecarbonitrile",85136-74-9,400-340-3
"Formate de (6-(4-hydroxy-3-(2-méthoxyphénylazo)-2-sulfonato-7-naphtylamino)-1,3,5-triazine-2,4-diyl)bis[(amino-1-méthyléthyl)ammonium]",108225-03-2,402-060-7
"[4′-(8-Acétylamino-3,6-disulfonato-2-naphtylazo)-4″-(6-benzoylamino-3-sulfonato-2-naphtylazo)biphényl-1,3′,3″,1O′″-tétraolato-O,O′,O″,O′″]cuivre(II) de trisodium",,413-590-3
"Mélange de: N-[3-hydroxy-2-(2-méthylacryloylaminométhoxy) propoxyméthyl]-2-méthylacrylamide, de N-[2,3-bis-(2-méthylacryloylaminométhoxy)propoxyméthyl]-2-méthylacrylamide, de méthacrylamide, de 2-méthyl-N-(2-méthyl-acryloylaminométhoxyméthyl)acrylamide, et de N-(2,3-dihydroxypropoxyméthyl)-2-méthylacrylamide",,412-790-8
"1,3,5-tris[(2S et 2R)-2,3-époxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (téroxirone)",59653-74-6,616-091-00-0
Érionite,12510-42-8,650-012-00-0
Amiante,12001-28-4,650-013-00-6
Pétrole,8002-05-09,232-298-5
"Distillats lourds (pétrole), hydrocraquage, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-76-0,265-077-7
"Distillats paraffiniques lourds (pétrole), raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-88-4,265-090-8
"Distillats paraffiniques légers (pétrole), raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-89-5,265-091-3
"Huiles résiduelles (pétrole), désasphaltées au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-95-3,265-096-0
"Distillats naphténiques lourds (pétrole), raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-96-4,265-097-6
"Distillats naphténiques légers (pétrole), raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64741-97-5,265-098-1
"Huiles résiduelles (pétrole), raffinées au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-01-04,265-101-6
"Distillats paraffiniques lourds (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-36-5,265-137-2
"Distillats paraffiniques légers (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-37-6,265-138-8
"Huiles résiduelles (pétrole), traitées à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-41-2,265-143-5
"Distillats naphténiques lourds (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-44-5,265-146-1
"Distillats naphténiques légers (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-45-6,265-147-7
"Distillats naphténiques lourds (pétrole), hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-52-5,265-155-0
"Distillats naphténiques légers (pétrole), hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-53-6,265-156-6
"Distillats paraffiniques lourds (pétrole), hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-54-7,265-157-1
"Distillats paraffiniques légers (pétrole), hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-55-8,265-158-7
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-56-9,265-159-2
"Huiles résiduelles (pétrole), hydrotraitées, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-57-0,265-160-8
"Huiles résiduelles (pétrole), déparaffinées au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-62-7,265-166-0
"Distillats naphténiques lourds (pétrole), déparaffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-63-8,265-167-6
"Distillats naphténiques légers (pétrole), déparaffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-64-9,265-168-1
"Distillats paraffiniques lourds (pétrole), déparaffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-65-0,265-169-7
"Huile de ressuage (pétrole), contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-67-2,265-171-8
"Huiles naphténiques lourdes (pétrole), déparaffinage catalytique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-68-3,265-172-3
"Huiles naphténiques légères (pétrole), déparaffinage catalytique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-69-4,265-173-9
"Huiles de paraffine lourdes (pétrole), déparaffinage catalytique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-70-7,265-174-4
"Huiles de paraffine légères (pétrole), déparaffinage catalytique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-71-8,265-176-5
"Huiles naphténiques lourdes complexes (pétrole), déparaffinées, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-75-2,265-179-1
"Huiles naphténiques légères complexes (pétrole), déparaffinées, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",64742-76-3,265-180-7
"Extraits au solvant de distillat naphténique lourd (pétrole), concentré aromatique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",68783-00-6,272-175-3
"Extraits au solvant de distillat paraffinique lourd raffiné au solvant (pétrole), contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",68783-04-0,272-180-0
"Extraits (pétrole), désasphaltage au solvant de distillats paraffiniques lourds, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",68814-89-1,272-342-0
"Huiles lubrifiantes (pétrole), C20-50, base huile neutre, hydrotraitement, vicosité élevée, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",72623-85-9,276-736-3
"Huiles lubrifiantes (pétrole), C15-30, base huile neutre, hydrotraitement, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",72623- 86-0,276-737-9
"Huiles lubrifiantes (pétrole), C20-50, base huile neutre, hydrotraitement, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",72623- 87-1,276-738-4
"Huiles lubrifiantes, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",74869-22-0,278-012-2
"Distillats paraffiniques lourds complexes (pétrole), déparaffinés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-91-8,292-613-7
"Distillats paraffiniques légers complexes (pétrole), déparaffinés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-92-9,292-614-2
"Distillats paraffiniques lourds (pétrole), déparaffinés au solvant et traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-94-1,292-616-3
"Hydrocarbures paraffiniques lourds en C20-50 (pétrole), déparaffinage au solvant et hydrotraitement, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-95-2,292-617-9
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant et traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-96-3,292-618-4
"Distillats paraffiniques légers (pétrole), déparaffinés au solvant et hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90640-97-4,292-620-5
"Extraits au solvant (pétrole), distillat naphténique lourd, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90641-07-09,292-631-5
"Extraits au solvant (pétrole), distillat paraffinique lourd, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90641-08-0,292-632-0
"Extraits au solvant (pétrole), distillat paraffinique léger, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90641-09-01,292-633-6
"Huiles résiduelles (pétrole), déparaffinées au solvant, hydrotraitées, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",90669-74-2,292-656-1
"Huiles résiduelles (pétrole), déparaffinage catalytique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91770-57-9,294-843-3
"Distillats paraffiniques lourds (pétrole), déparaffinés, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-39-0,295-300-3
"Distillats paraffiniques légers (pétrole), déparaffinés, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-40-3,295-301-9
"Distillats (pétrole), raffinage au solvant et hydrocraquage, déparaffinage, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-45-8,295-306-6
"Distillats naphténiques légers (pétrole), raffinés au solvant, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-54-9,295-316-0
"Extraits au solvant (pétrole) distillat paraffinique léger hydrotraité, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995- 73-2,295-335-4
"Extraits au solvant (pétrole), distillat naphténique léger, hydrodésulfurés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-75-4,295-338-0
"Extraits au solvant (pétrole), distillat paraffinique léger, traités à l'acide, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-76-5,295-339-6
"Extraits au solvant (pétrole), distillat paraffinique léger, hydrodésulfurés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-77-6,295-340-1
"Extraits au solvant (pétrole), gazole léger sous vide, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",91995-79-8,295-342-2
"Huiles de ressuage hydrotraitées (pétrole), contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92045-12-0,295-394-6
"Huiles lubrifiantes en C17-35 (pétrole), extraction au solvant, déparaffinées, hydrotraitées, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92045-42-6,295-423-2
"Huiles lubrifiantes déparaffinées au solvant (pétrole), non aromatiques, hydrocraquage, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92045-43-7,295-424-8
"Huiles résiduelles (pétrole), hydrocraquage, traitement à l'acide et déparaffinage au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92061-86-4,295-499-7
"Huiles de paraffine lourdes (pétrole), déparaffinées et raffinées au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92129-09-04,295-810-6
"Extraits au solvant (pétrole), distillat paraffinique lourd, traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",92704-08-0,296-437-1
"Huiles lubrifiantes paraffiniques (pétrole), huiles de base, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93572-43-1,297-474-6
"Extraits au solvant hydrodésulfurés (pétrole), distillat naphténique lourd, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93763-10-1,297-827-4
"Extraits au solvant hydrodésulfurés (pétrole), distillat paraffinique lourd déparaffiné au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93763-11-2,297-829-5
"Hydrocarbures, résidus de distillation paraffiniques, hydrocraquage, déparaffinage au solvant, contenant > 3 % d'extrait de diméthyl sulfoxyde (DMSO)",93763-38-3,297-857-8
"Huile de ressuage (pétrole), traitée à l'acide, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93924-31-3,300-225-7
"Huiles de ressuage (pétrole), traitées à l'argile, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93924-32-4,300-226-2
"Hydrocarbures en C20-50, hydrogénation d'huile résiduelle, distillat sous vide, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",93924-61-9,300-257-1
"Distillats lourds (pétrole), hydrotraités, raffinés au solvant, hydrogénés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",94733-08-01,305-588-5
"Distillats légers (pétrole), hydrocraquage, raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",94733-09-02,305-589-0
"Huiles lubrifiantes en C18-40 (pétrole), base distillat d'hydrocraquage déparaffiné au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",94733-15-0,305-594-8
"Huiles lubrifiantes en C18-40 (pétrole), base raffinat hydrogéné déparaffiné au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",94733-16-1,305-595-3
"Hydrocarbures en C13-30, riches en aromatiques, distillat naphténique extrait au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",95371-04-03,305-971-7
"Hydrocarbures en C16-32, riches en aromatiques, distillat naphténique extrait au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",95371-05-04,305-972-2
"Hydrocarbures en C37-68, résidus de distillation sous vide hydrotraités, désasphaltés, déparaffinés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",95371-07-06,305-974-3
"Hydrocarbures en C37-65, résidus de distillation sous vide désasphaltés, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",95371-08-07,305-975-9
"Distillats légers (pétrole), raffinés au solvant, hydrocraquage, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97488-73-8,307-010-7
"Distillats lourds (pétrole), hydrogénés raffinés au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97488-74-9,307-011-2
"Huiles lubrifiantes en C18-27 (pétrole), hydrocraquées, déparaffinées au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97488-95-4,307-034-8
"Hydrocarbures en C17-30, résidu de distillation atmosphérique désasphalté au solvant et hydrotraité, fraction légère de distillation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97675-87-1,307-661-7
"Hydrocarbures en C17-40, résidu de distillation hydrotraité et désasphalté au solvant, fraction légère de distillation sous vide, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97722-06-0,307-755-8
"Hydrocarbures en C13-27, naphténiques légers, extraction au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97722-09-03,307-758-4
"Hydrocarbures en C14-29, naphténiques légers, extraction au solvant, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97722-10-6,307-760-5
"Huile de ressuage (pétrole), traitée au charbon, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97862-76-5,308-126-0
"Huile de ressuage (pétrole), traitée à l'acide silicique, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97862-77-6,308-127-6
"Hydrocarbures en C27-42, désaromatisés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97862-81-2,308-131-8
"Hydrocarbures en C17-30, distillats hydrotraités, produits légers de distillation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97862-82-3,308-132-3
"Hydrocarbures en C27-45, distillation naphténique sous vide, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97862-83-4,308-133-9
"Hydrocarbures en C27-45, désaromatisés, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97926-68-6,308-287-7
"Hydrocarbures en C20-58, hydrotraités, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97926-70-0,308-289-8
"Hydrocarbures naphténiques en C27-42, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",97926-71-1,308-290-3
"Extraits au solvant de distillat paraffinique léger (pétrole), traités au charbon, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684-02-4,309-672-2
"Extraits au solvant de distillat paraffinique léger (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684- 03-5,309-673-8
"Extraits au solvant de gazole léger sous vide (pétrole), traités au charbon, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684-04-6,309-674-3
"Extraits au solvant de gazole léger sous vide (pétrole), traités à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684-05-7,309-675-9
"Huiles résiduelles (pétrole), déparaffinées au solvant et traitées au charbon, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684-37-5,309-710-8
"Huiles résiduelles (pétrole), déparaffinées au solvant et traitées à la terre, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",100684-38-6,309-711-3
"Huiles lubrifiantes supérieures à C25 (pétrole), extraction au solvant, désasphaltage, déparaffinage, hydrogénation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",101316-69-2,309-874-0
"Huiles lubrifiantes en C17-32 (pétrole), extraction au solvant, déparaffinage, hydrogénation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",101316-70-5,309-875-6
"Huiles lubrifiantes en C20-35 (pétrole), extraction au solvant, déparaffinage, hydrogénation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",101316-71-6,309-876-1
"Huiles lubrifiantes en C24-50 (pétrole), extraction au solvant, déparaffinage, hydrogénation, contenant > 3 % p/p d'extrait de diméthyl sulfoxyde (DMSO)",101316-72-7,309-877-7
"Distillats moyens (pétrole), adoucis, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64741-86-2,265-088-7
"Gazoles (pétrole), raffinés au solvant, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64741-90-8,265-092-9
"Distillats moyens (pétrole), raffinés au solvant, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64741-91-9,265-093-4
"Gazoles (pétrole), traités à l'acide, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-12-7,265-112-6
"Distillats moyens (pétrole), traités à l'acide, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-13-8,265-113-1
"Distillats légers (pétrole), traités à l'acide, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-14-9,265-114-7
"Gazoles (pétrole), neutralisés chimiquement, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-29-6,265-129-9
"Distillats moyens (pétrole), neutralisés chimiquement, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-30-9,265-130-4
"Distillats moyens (pétrole), traités à la terre, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-38-7,265-139-3
"Distillats moyens (pétrole), hydrotraités, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-46-7,265-148-2
"Gazoles (pétrole), hydrodésulfurés, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-79-6,265-182-8
"Distillats moyens (pétrole) hydrodésulfurés, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",64742-80-9,265-183-3
"Distillats à point d'ébullition élevé (pétrole), résidu de fractionnement du reformage catalytique, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",68477-29-2,270-719-4
"Distillats à point d'ébullition moyen (pétrole), résidu de fractionnement du reformage catalytique, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",68477-30-5,270-721-5
"Distillats à bas point d'ébullition (pétrole), résidu de fractionnement du reformage catalytique, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",68477-31-6,270-722-0
"Alcanes en C12-26 ramifiés et droits, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",90622-53-0,292-454-3
"Distillats moyens (pétrole), hautement raffinés, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",90640-93-0,292-615-8
"Distillats (pétrole) reformage catalytique, concentré aromatique lourd, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",91995-34-5,295-294-2
"Gazoles paraffiniques, sauf lorsque l'historique complet du raffinage est connu, et qu'il peut être établi que la substance à partir de laquelle il est produit n'est pas cancérogène",93924-33-5,300-227-8
